"name","concept_id","source","code"
Unable to bear weight,1218,PIH,"10699"
Cough,1392,PIH,"107"
Refuses to eat,1245,PIH,"10700"
Hypersalivation,1254,PIH,"10701"
Laryngeal stridor,1260,PIH,"10702"
Oxygen saturation < 85%,1255,PIH,"10703"
Acute dyspnea,1256,PIH,"10704"
Bloody cough,1257,PIH,"10705"
Severe pain,1252,PIH,"10706"
Moderate pain,1249,PIH,"10707"
Drowsiness,1232,PIH,"10708"
Ketotic hyperglycemia,1198,PIH,"10709"
Severe trauma,1217,PIH,"10710"
Mesalazine,2206,PIH,"10711"
DEET,2081,PIH,"10712"
Neurological triage symptom,1216,PIH,"10713"
Triage symptom sets,1262,PIH,"10714"
Burn triage symptom,1238,PIH,"10715"
Glucose triage symptom,1199,PIH,"10716"
Trauma triage symptom,1227,PIH,"10717"
Digestive triage symptom,1248,PIH,"10718"
Persistent diarrhea,1246,PIH,"10719"
Days,968,PIH,"1072"
Respiratory triage symptom,1261,PIH,"10720"
Pregnancy triage symptom,1202,PIH,"10721"
Pain triage symptom,1253,PIH,"10722"
Other triage symptom,1233,PIH,"10723"
Response triage symptom,1208,PIH,"10724"
Oxygen,1263,PIH,"10725"
Emergency treatment,1265,PIH,"10726"
Paracetamol dose (mg),1274,PIH,"10727"
Haiti insurance company name,159,PIH,"10728"
AIC,157,PIH,"10729"
Weeks,972,PIH,"1073"
INASSA,156,PIH,"10730"
CAH,155,PIH,"10731"
CONAM,154,PIH,"10732"
SOGE Assurance,153,PIH,"10733"
UniAssurances,152,PIH,"10734"
GMC Henner,151,PIH,"10735"
CIGNA (Vanbreda),150,PIH,"10736"
Insurance policy number,149,PIH,"10737"
Insurance construct,161,PIH,"10738"
Microcephaly due to Zika virus,4301,PIH,"10739"
Months,971,PIH,"1074"
Insurance company name (text),160,PIH,"10740"
ZL employee,124,PIH,"10741"
Prescription construct,1348,PIH,"10742"
Pump,294,PIH,"10743"
"Dosing units, coded",1344,PIH,"10744"
"Laboratory test ordered, coded",716,PIH,"10745"
Mayaro Fever,4821,PIH,"10746"
Waiting for consultation status,1167,PIH,"10747"
Cholera treatment,3953,PIH,"10748"
Education,3957,PIH,"10749"
Procedure,3962,PIH,"10751"
Delivery by vacuum extraction,2755,PIH,"10752"
Suture of female perineum,2734,PIH,"10753"
Diagnostic curettage of endometrium,2746,PIH,"10754"
Forceps delivery,2747,PIH,"10755"
Excision of fibroadenoma of breast,2744,PIH,"10756"
Removal of contraceptive implant,2743,PIH,"10757"
Suture of cervix,2751,PIH,"10758"
Intrauterine tamponade with Bakri balloon,2758,PIH,"10760"
Visual inspection with acetic acid,2742,PIH,"10761"
Surveillance of contraceptive implant,2737,PIH,"10762"
General procedures,2364,PIH,"10763"
Emergency sign and symptom,1242,PIH,"10764"
Airway compromised,1239,PIH,"10765"
Pre-pathology diagnosis construct,339,PIH,"10766"
Pathology procedure set,2824,PIH,"10768"
Pathology procedure ordered,336,PIH,"10769"
Bloody,3047,PIH,"1077"
Pathology procedure performed,343,PIH,"10770"
Procedure performed at external location (text),348,PIH,"10771"
"Procedure ordered, non-coded",333,PIH,"10772"
Pathology concept set,353,PIH,"10773"
Pathology order,340,PIH,"10774"
Specimen 1 comment,345,PIH,"10775"
Specimen 2 comment,341,PIH,"10776"
Specimen 3 comment,347,PIH,"10777"
Specimen 4 comment,342,PIH,"10778"
Name of clinician for test results,344,PIH,"10779"
Date of initial consultation,350,PIH,"10780"
Test order number,352,PIH,"10781"
Post-pathology diagnosis construct,335,PIH,"10782"
Date of test results,334,PIH,"10783"
"Procedure performed, non-coded",337,PIH,"10784"
PDF file,349,PIH,"10785"
Incisional biopsy of esophagus,2786,PIH,"10787"
Core needle biopsy of uterus,2782,PIH,"10788"
Core needle biopsy of large intestine,2766,PIH,"10789"
Incisional biopsy of uterine cervix,2774,PIH,"10790"
Incisional biopsy of right breast,2779,PIH,"10791"
Core needle biopsy of both breasts,2800,PIH,"10792"
Excisional biopsy of left breast,2805,PIH,"10793"
